BIN-ID	COUNTS	RECURSIVE-COUNTS
13.1.3	0	62
13.1.3.1	2	5
13.1.3.1.1	3	3
13.1.3.1.1001	0	0
13.1.3.2	0	2
13.1.3.2.1	2	2
13.1.3.2.1001	0	0
13.1.3.4	14	33
13.1.3.4.1	2	2
13.1.3.4.2	3	3
13.1.3.4.3	0	0
13.1.3.4.11	0	0
13.1.3.4.12	9	9
13.1.3.4.13	5	5
13.1.3.4.1001	0	0
13.1.3.4.1002	0	0
13.1.3.4.1003	0	0
13.1.3.5	3	14
13.1.3.5.1	0	0
13.1.3.5.2	6	6
13.1.3.5.3	0	0
13.1.3.5.4	0	0
13.1.3.5.5	5	5
13.1.3.5.6	0	0
13.1.3.5.7	0	0
13.1.3.5.8	0	0
13.1.3.5.9	0	0
13.1.3.5.10	0	0
13.1.3.5.1001	0	0
13.1.3.6	0	8
13.1.3.6.1	0	8
13.1.3.6.1.1	5	5
13.1.3.6.1.2	1	1
13.1.3.6.1.3	1	1
13.1.3.6.1.4	1	1
13.1.3.6.1.10	0	0
13.1.3.6.1.1001	0	0
13.1.3.6.2	0	0
13.1.3.6.2.1001	0	0
13.1.4	0	27
13.1.4.1	6	15
13.1.4.1.1	1	1
13.1.4.1.2	0	0
13.1.4.1.4	8	8
13.1.4.3	0	0
13.1.4.3.1001	0	0
13.1.4.4	1	5
13.1.4.4.1	4	4
13.1.4.4.2	0	0
13.1.4.4.3	0	0
13.1.4.4.4	0	0
13.1.4.4.1001	0	0
13.1.4.5	7	7
13.1.4.5.1	0	0
13.1.4.5.1001	0	0
13.1.5	0	42
13.1.5.1	0	8
13.1.5.1.1	5	5
13.1.5.1.2	1	1
13.1.5.1.3	2	2
13.1.5.1.1001	0	0
13.1.5.2	0	1
13.1.5.2.1	0	0
13.1.5.2.2	0	0
13.1.5.2.3	0	0
13.1.5.2.11	0	0
13.1.5.2.31	0	0
13.1.5.2.41	1	1
13.1.5.2.1001	0	0
13.1.5.3	10	33
13.1.5.3.1	15	15
13.1.5.3.2	8	8
13.1.5.3.1001	0	0
13.1.5.3.1002	0	0
13.1.5.3.1003	0	0
13.1.5.3.1004	0	0
13.1.6	0	107
13.1.6.1	0	35
13.1.6.1.1	4	4
13.1.6.1.2	1	1
13.1.6.1.3	0	0
13.1.6.1.4	0	0
13.1.6.1.5	16	16
13.1.6.1.6	3	3
13.1.6.1.7	3	3
13.1.6.1.10	8	8
13.1.6.1.1001	0	0
13.1.6.1.1002	0	0
13.1.6.2	4	7
13.1.6.2.1	3	3
13.1.6.2.2	0	0
13.1.6.3	0	6
13.1.6.3.1	6	6
13.1.6.3.1001	0	0
13.1.6.3.1002	0	0
